== build generator & input ==
== reference sum (exact) ==
expected = 53687387166542798
== bandwidth floor (f(n)=n target) ==
floor (cat > /dev/null) = 0.5460s min / 0.6570s median  <- champion should approach this
== build variants ==
== timing (interleaved, RUNS=3) ==
== test + benchmark ==
NAME                     RESULT             BEST(s)   MED(s)    JITTER    STATUS
variants/dp2_8s_fw_t0_64_2048 53687387166542798  0.0900    0.0940    ±0.0070  OK
variants/dp2_8s_fw_t0_64_3072 53687387166542798  0.0940    0.0940    ±0.0030  OK
variants/dp2_8s_fw_t0_64_512 53687387166542798  0.0920    0.0930    ±0.0010  OK
variants/dp2_8s_fw_t0_7168 53687387166542798  0.0910    0.0950    ±0.0080  OK
variants/dp2_8s_fw_t0_9216 53687387166542798  0.0900    0.0930    ±0.0030  OK
variants/dp2_8s_fw_t0_96_1536 53687387166542798  0.0940    0.0950    ±0.0040  OK
variants/dp2_8s_fw_t0_96_768 53687387166542798  0.0920    0.0940    ±0.0020  OK
variants/dp2_8s_fw_t0_t1 53687387166542798  0.0920    0.0950    ±0.0390  OK
variants/dp2_8s_fw_t2_t1 53687387166542798  0.0970    0.0970    ±0.0020  OK
variants/dp2_8s_fw_wide400 53687387166542798  0.0940    0.0950    ±0.0020  OK
variants/dp2_8s_interleaved 53687387166542798  0.1220    0.1230    ±0.0080  OK
variants/dp2_8s_itercount 53687387166542798  0.0940    0.0950    ±0.0020  OK
variants/dp2_8s_nopf     53687387166542798  0.1110    0.1140    ±0.0070  OK
variants/dp2_8s_pf1024   53687387166542798  0.0950    0.0990    ±0.0080  OK
variants/dp2_8s_pf2048   53687387166542798  0.0940    0.0960    ±0.0050  OK
variants/dp2_8s_pf2560   53687387166542798  0.0950    0.0950    ±0.0050  OK
variants/dp2_8s_pf3072   53687387166542798  0.0950    0.0950    ±0.0010  OK
variants/dp2_8s_pf3072_32 53687387166542798  0.0930    0.0950    ±0.0110  OK
variants/dp2_8s_pf4096   53687387166542798  0.0940    0.0960    ±0.0030  OK
variants/dp2_8s_pf4096_32 53687387166542798  0.0950    0.0950    ±0.0050  OK
variants/dp2_8s_pf4096_double 53687387166542798  0.0930    0.0930    ±0.0030  OK
variants/dp2_8s_pf512    53687387166542798  0.0950    0.0970    ±0.0020  OK
variants/dp2_8s_pf6144   53687387166542798  0.0950    0.0960    ±0.0020  OK
variants/dp2_8s_pf8192   53687387166542798  0.0940    0.0980    ±0.0040  OK
variants/dp2_8s_pf_double 53687387166542798  0.0940    0.0940    ±0.0060  OK
variants/dp2_8s_stop_pf3072 53687387166542798  0.0960    0.0960    ±0.0010  OK
variants/dp2_8s_subdetect 53687387166542798  0.0920    0.0950    ±0.0050  OK
variants/dp2_8s_t2_4096  53687387166542798  0.0930    0.0930    ±0.0040  OK
variants/dp2_8s_triple_pair 53687387166542798  0.0950    0.0960    ±0.0020  OK
variants/dp2_8s_twoaccum 53687387166542798  0.0950    0.0970    ±0.0020  OK
variants/dp2_8s_u8tree   -                  -         -         -         WRONG
variants/dp2_8s_unify_stop 53687387166542798  0.0950    0.0960    ±0.0040  OK
variants/dp2_8stream     53687387166542798  0.0950    0.0990    ±0.0080  OK
variants/dp2_acc2        53687387166542798  0.1010    0.1010    ±0.0270  OK
variants/dp2_pf4         53687387166542798  0.0930    0.1050    ±0.0230  OK
variants/memchr          53687387166542798  0.9660    0.9660    ±0.0270  OK
variants/mmap_locked     53687387166542798  0.2180    0.2240    ±0.0120  OK
variants/read_loop       53687387166542798  0.5860    0.7530    ±0.1730  OK
variants/read_thp        53687387166542798  0.5710    0.7190    ±0.1850  OK
variants/stuchlik_8stream 53687387166542798  0.2310    0.2310    ±0.0300  OK
variants/stuchlik_digitplace 53687387166542798  0.6080    0.6110    ±0.0110  OK
variants/stuchlik_dp2    53687387166542798  0.1000    0.1050    ±0.0070  OK
variants/swar_blockparse 53687387166542798  0.6800    0.6820    ±0.0060  OK
variants/swar_branchless 53687387166542798  0.4460    0.4540    ±0.0280  OK
variants/swar_nlfind     53687387166542798  0.5940    0.6130    ±0.0410  OK
variants/swar_noreload   53687387166542798  0.5920    0.5970    ±0.0200  OK
variants/swar_prefetch   53687387166542798  0.5510    0.5640    ±0.0470  OK
variants/swar_unroll2    53687387166542798  0.4320    0.4340    ±0.0440  OK
variants/rust_avx2       53687387166542798  0.2420    0.2880    ±0.0630  OK
== ranking (correct only, by BEST time, fastest first) ==
     1	0.0900 variants/dp2_8s_fw_t0_64_2048
     2	0.0900 variants/dp2_8s_fw_t0_9216
     3	0.0910 variants/dp2_8s_fw_2560_32
     4	0.0910 variants/dp2_8s_fw_4acc_t0_128_1024
     5	0.0910 variants/dp2_8s_fw_4acc_t1_2048
     6	0.0910 variants/dp2_8s_fw_t0_128_1024
     7	0.0910 variants/dp2_8s_fw_t0_128_1536
     8	0.0910 variants/dp2_8s_fw_t0_128_3072
     9	0.0910 variants/dp2_8s_fw_t0_256_1536
    10	0.0910 variants/dp2_8s_fw_t0_7168
    11	0.0920 champion
    12	0.0920 variants/dp2_8s_fw_200it
    13	0.0920 variants/dp2_8s_fw_6144_32
    14	0.0920 variants/dp2_8s_fw_t0_192_1536
    15	0.0920 variants/dp2_8s_fw_t0_256
    16	0.0920 variants/dp2_8s_fw_t0_5120
    17	0.0920 variants/dp2_8s_fw_t0_64_512
    18	0.0920 variants/dp2_8s_fw_t0_96_768
    19	0.0920 variants/dp2_8s_fw_t0_t1
    20	0.0920 variants/dp2_8s_subdetect
    21	0.0930 variants/dp2_8s_fw_3072_32
    22	0.0930 variants/dp2_8s_fw_4096_64
    23	0.0930 variants/dp2_8s_fw_4acc_200it
    24	0.0930 variants/dp2_8s_fw_4acc_t0_192_1536
    25	0.0930 variants/dp2_8s_fw_4acc_t0_256_3072
    26	0.0930 variants/dp2_8s_fw_4acc_t0_512_2048
    27	0.0930 variants/dp2_8s_fw_4acc_t0_64_3072
    28	0.0930 variants/dp2_8s_fw_4acc_t0_64_640
    29	0.0930 variants/dp2_8s_fw_4acc_t0_64_896
    30	0.0930 variants/dp2_8s_fw_4acc_t0t1
    31	0.0930 variants/dp2_8s_fw_t0_192_1024
    32	0.0930 variants/dp2_8s_fw_t0_192_2048
