variants/dp2_8s_pf3072_32	0.0860	OK
variants/dp2_8s_pf4096	0.0870	OK
variants/dp2_8s_pf4096_32	0.0850	OK
variants/dp2_8s_pf4096_double	0.0850	OK
variants/dp2_8s_pf512	0.0900	OK
variants/dp2_8s_pf6144	0.0870	OK
variants/dp2_8s_pf8192	0.0890	OK
variants/dp2_8s_pf_double	0.0870	OK
variants/dp2_8s_stop_pf3072	0.0870	OK
variants/dp2_8s_subdetect	0.0870	OK
variants/dp2_8s_t2_4096	0.0890	OK
variants/dp2_8s_triple_pair	0.0900	OK
variants/dp2_8s_twoaccum	0.0900	OK
variants/dp2_8s_u8tree	-	WRONG
variants/dp2_8s_unify_stop	0.0870	OK
variants/dp2_8stream	0.0910	OK
variants/dp2_acc2	0.0890	OK
variants/dp2_pf4	0.0890	OK
variants/memchr	0.9140	OK
variants/mmap_locked	0.2140	OK
variants/read_loop	0.5160	OK
variants/read_thp	2.9590	OK
variants/stuchlik_8stream	0.2210	OK
variants/stuchlik_digitplace	0.5930	OK
variants/stuchlik_dp2	0.0890	OK
variants/swar_blockparse	0.6750	OK
variants/swar_branchless	0.4430	OK
variants/swar_nlfind	0.5910	OK
variants/swar_noreload	0.5780	OK
variants/swar_prefetch	0.5450	OK
variants/swar_unroll2	0.4170	OK
variants/rust_avx2	0.2360	OK
